CORR_ANS,context,file_OTH,file_TGT,file_X,speaker_OTH,speaker_TGT,speaker_X,tripletid,vowel_OTH,vowel_TGT,vowel_X,vowel_eng,vowel_fr,word_OTH,word_TGT,word_X,en_2_kmean_oth_x,en_2_kmean_tgt_x,fr_2_kmean_oth_x,fr_2_kmean_tgt_x,en_500_kmean_oth_x,en_500_kmean_tgt_x,fr_10_kmean_oth_x,fr_10_kmean_tgt_x,fr_1565_kmean_oth_x,fr_1565_kmean_tgt_x,fr_61_kmean_oth_x,fr_61_kmean_tgt_x,en_10_kmean_oth_x,en_10_kmean_tgt_x,fr_500_kmean_oth_x,fr_500_kmean_tgt_x,fr_6000_kmean_oth_x,fr_6000_kmean_tgt_x,en_611_kmean_oth_x,en_611_kmean_tgt_x,en_6000_kmean_oth_x,en_6000_kmean_tgt_x,en_42_kmean_oth_x,en_42_kmean_tgt_x,fr_100_kmean_oth_x,fr_100_kmean_tgt_x,fr_5_kmean_oth_x,fr_5_kmean_tgt_x,en_100_kmean_oth_x,en_100_kmean_tgt_x,en_5_kmean_oth_x,en_5_kmean_tgt_x,en_1000_kmean_oth_x,en_1000_kmean_tgt_x,fr_1000_kmean_oth_x,fr_1000_kmean_tgt_x
B,Z_SH,maureen_fr_118,veronique_eng_220,jeremy_eng_231,maureen,veronique,jeremy,triplet11,Y,IH,IH,IH,Y,ZYSH,ZIHSH,ZIHSH,0.24978778240651794,1.4941818303765841,1.0271766413952017,2.344419327118167,22.812114333008974,23.20538965684798,11.758100454980976,11.907053805537144,22.300142369338747,21.826810475871856,16.859259080475848,21.12665979009065,8.908845535888755,10.922603891775546,17.66630519146752,19.05442759998651,20.53883056632052,20.242007447748907,24.463156220683384,20.92286890533645,29.669091988724237,23.233787423706982,20.808824138501034,17.216542992611615,17.793914007676946,20.286093410039395,9.565599884085142,10.344909871119569,21.622242214270113,20.53523699604314,13.108017858247392,7.390881798237695,18.698182028354456,18.552348766379936,21.128595334086363,21.842415406397194
A,SH_V,maureen_eng_59,veronique_fr_144,marc_fr_139,maureen,veronique,marc,triplet12,AE,OE,OE,AE,OE,SHAEV,SHOEV,SHOEV,1.1428878946142569,1.1155315716948113,1.7349954580420064,1.3227200738296983,22.300787488125437,21.66678652788083,14.004860968516127,12.306444317910877,21.553340311569777,20.121685599324348,18.450151096061056,15.273993106097876,9.905365328226003,10.17921890876295,21.375731327819853,18.31263471008582,25.225474548855704,28.095336681125772,17.973969951393983,20.804639812267023,22.433325308594842,21.712657365755867,18.90861730586723,18.674638234048803,17.66115071343608,18.8571330928577,7.160777528234478,6.704507481950525,13.790490138517027,17.766694008015506,7.909506504494198,7.9674825379853225,20.564453358409846,18.779574306304195,23.445864322931808,17.596622810895724
A,SH_B,veronique_fr_74,maureen_eng_73,jeremy_eng_73,veronique,maureen,jeremy,triplet13,I,AH,AH,AH,I,SHIB,SHAHB,SHAHB,2.585716065408705,1.593805705181619,2.087757110894616,2.76764836608946,21.35541792874003,19.411450091035146,11.863645089115023,14.693045426353114,26.568145875585035,18.86281354987994,21.457231185667943,26.284626382920713,11.29064103765792,9.844616751010246,25.411867468627396,24.404386445093813,22.727003743506092,21.336160752272253,21.855627561833927,20.639137329048616,20.945862123164062,22.517717246326246,25.71516571371347,16.058034913393403,26.847279753228293,17.95205474364388,6.722892763393435,6.552468264013655,23.948032085862664,19.738058249872523,9.828113607700594,5.941084509324524,20.043355928635616,25.48478268895138,22.177872607966595,25.80080205557848
B,Z_D,veronique_eng_5,maureen_fr_5,remi_fr_5,veronique,maureen,remi,triplet14,UH,U,U,UH,U,ZUHD,ZUD,ZUD,0.7667331051605818,0.4757637310091348,0.9749254407234108,1.793766580990017,27.11373473277086,24.326145622327658,11.735079990396189,9.863023536256492,23.148706009899243,18.41114406223691,21.660402434055218,17.641756633935763,8.02413718230401,6.246122508168032,17.57022910378351,20.406552468412908,21.671745777096348,24.237021571775404,16.92222797797572,21.984678913937113,21.65567693011727,20.554979547835977,16.803659338807147,19.864644509250176,18.579343703931784,23.779434427268185,5.509351285882258,5.913249515405624,17.88418692363297,19.77975909340105,9.146399052019492,9.182552187003902,19.871825050259833,20.160689916940015,22.197556233446864,19.203193642035536
B,Z_D,maureen_fr_203,veronique_eng_36,ewan_eng_39,maureen,veronique,ewan,triplet15,O,AE,AE,AE,O,ZOD,ZAED,ZAED,1.3562977414261117,1.2331026131808633,0.39994696935362994,0.8569380944415685,20.09115964411094,23.432189867030385,13.308028698240491,14.525539203632775,19.98913332359378,20.87057004914765,16.53805218571808,16.512666018214368,7.75359419448398,9.397125479576966,16.36142109607146,18.398957531060187,16.741846269171564,20.452020808304574,20.577176156773042,25.078520444905347,25.217069133416796,25.982469129858647,14.946199359934605,18.69191019079095,21.797188458813807,14.237518166579113,5.9623122735606335,5.090986628203759,17.89814690220463,21.997762800269793,7.414469739420204,11.909261306875562,17.9628364509977,15.981829272847781,22.36356912195726,17.637047283455203
A,V_K,veronique_eng_214,maureen_fr_98,remi_fr_93,veronique,maureen,remi,triplet16,IH,Y,Y,IH,Y,VIHK,VYK,VYK,2.2368525553148255,1.403117079445777,3.1084521644651186,2.359803488716981,24.742032972599645,21.918729557133762,12.926071143148986,11.354023065460115,21.12471269126662,22.609953930516784,19.20870297643851,17.861396783614065,10.714463603129024,8.56816834487784,22.383584752994775,19.94946152339716,23.65628612382034,20.772769064498576,22.368669836366244,20.012732119610817,23.45246062649012,21.173382869762023,18.004152026018758,16.98673612742605,21.25448132776145,20.195360884756916,8.898503354856322,9.502182576838548,19.829651870756475,19.77994898749636,9.924655454334872,6.526789597870934,25.668065477498985,20.965263563971252,19.312818320584647,21.014124772142203
A,Z_SH,maureen_fr_22,veronique_eng_94,jeremy_eng_97,maureen,veronique,jeremy,triplet17,U,AH,AH,AH,U,ZUSH,ZAHSH,ZAHSH,1.007341668009501,1.8646058044508154,1.5423863646252465,1.004713361082065,23.593684379211208,20.052987068235133,13.834104480042646,9.555633976893882,23.752518175170255,20.738669657463,17.98711455850905,23.634460261489252,8.194179930974697,10.880154655277515,21.096248273793694,21.579622253957666,21.74174955647093,24.37678269610941,23.31763010733608,19.869839308197363,20.42195657591603,25.246383988871543,21.926649147161804,17.2039539004274,20.37773036354527,23.04335048693142,7.9755923323476,5.870586717055755,18.81883824832761,20.296855976767407,6.778160339073722,6.376399403048303,19.165099975792547,24.886208434270113,24.747890172045185,23.860099914288988
B,Z_F,veronique_eng_219,maureen_fr_169,marc_fr_159,veronique,maureen,marc,triplet18,IH,A,A,IH,A,ZIHF,ZAF,ZAF,1.7252489213589122,1.122329987578412,1.647411535462561,0.8263221425688239,22.705216140483834,19.048510283256267,15.821817485197041,14.027441605992585,24.630562944306043,20.423953152399413,22.066012841898903,17.86865343941338,8.920910854831169,7.311577384979173,18.426608682978827,21.324247091280405,24.433066925783272,22.724523162277144,21.528640031011015,22.643003677910837,22.282966785960145,21.912373877180244,20.549251599271823,20.43170631130598,24.789671657844682,18.17678461696322,11.829001954996421,9.3636424320124,20.898560330300455,19.232859316961836,10.226016000516372,8.033266498894392,20.10743252254425,22.93732320300153,26.050985554205518,21.677346743208126
B,Z_V,veronique_fr_164,maureen_eng_23,jeremy_eng_23,veronique,maureen,jeremy,triplet19,A,UH,UH,UH,A,ZAV,ZUHV,ZUHV,1.58461346626935,0.6022170502734598,4.041144052855645,2.5265894655104875,28.46342960472484,24.314186400732833,12.839949048814258,11.88571337685152,19.574654180290754,16.28042439981161,21.392698499218632,16.04112921479395,11.012533560164293,13.034879917908686,20.954577983873158,21.70220967648212,18.708529875308663,22.83791623657038,23.748440857490568,24.475462202860925,24.595991985689306,25.295488505806112,16.376836944619576,16.112941044773944,18.518825459676655,26.501054446898603,3.6845419419508927,10.114210369784331,25.18793630325511,21.60524390665198,8.253098539130693,9.919544850375267,19.425980401068404,23.390076876169935,25.716219559798397,25.287807198079406
A,Z_B,maureen_eng_4,veronique_fr_82,marc_fr_77,maureen,veronique,marc,triplet20,UH,Y,Y,UH,Y,ZUHB,ZYB,ZYB,1.7950335333357552,2.275518418525638,2.1098259296374806,1.569374200564407,18.7891706615398,25.621812981248727,11.00307130804668,15.860866645282062,20.79895286707186,21.481883074002845,20.100474159610542,21.255477184050108,8.837646983642477,10.44165483521839,20.02501404403985,16.614647969450374,23.18162203644348,17.08898475763893,18.712097273241444,22.676569686014474,25.809659798117284,23.10154309598924,14.61694368680724,15.00592415724436,21.507112448583026,18.016363801488644,7.262221454115675,6.282109787769019,15.441823290113275,25.383759340620024,7.515250433360564,7.22268094412373,23.067887560133535,19.57927268547879,18.317388061365985,19.476244637267506
A,SH_S,maureen_fr_126,veronique_eng_54,jeremy_eng_57,maureen,veronique,jeremy,triplet21,Y,AE,AE,AE,Y,SHYS,SHAES,SHAES,2.8009599519864894,1.0985014791433518,0.7024253823395677,1.9176270410277305,21.512700850767516,24.281107770253282,13.619978179923281,16.941024418003575,20.10506637873987,22.056077894389407,17.864895038262834,18.6675878175089,8.463686103213513,10.341731668295285,20.40520362282525,19.218495398857392,18.595511494774282,16.623830576141195,21.811356907225075,20.349666511322553,24.55407862346719,25.086189595950177,18.82967446185187,15.147752962815572,20.87936019640424,19.014725344599928,7.331508074433091,6.119029425830689,21.444744526067723,18.00558660968838,7.169261037560469,7.210711441283288,22.004174055561588,19.04337295169418,19.956818673466625,21.30221224353265
B,V_SH,veronique_eng_60,maureen_fr_152,marc_fr_142,veronique,maureen,marc,triplet22,AE,OE,OE,AE,OE,VAESH,VOESH,VOESH,1.3977125856314436,0.8339362492110808,1.1270764342482105,1.9703861571454293,19.341150392137223,22.89478147758734,13.945398761439241,16.436606704985874,18.43631064118394,19.345760318269434,16.142543762347653,18.292980368819684,9.182025527276027,10.164127175440028,20.568220814257558,21.3298049253581,23.105072970508783,20.53855075837899,24.48574400136579,24.63309618017681,18.81047031528726,23.031164120753164,21.59205537204395,22.89808935848501,15.02077281462373,18.49094256270902,6.142443384714047,6.545428454723153,17.766812792635793,19.32090645449052,7.823740558199807,6.92235201950222,14.342634700218236,20.1851026490854,19.163482655120898,14.596543709315949
B,Z_D,veronique_fr_69,maureen_eng_68,jeremy_eng_68,veronique,maureen,jeremy,triplet23,I,AH,AH,AH,I,ZID,ZAHD,ZAHD,1.8766836875156185,1.5263785937079608,1.9657684727223699,1.1299549355413463,26.27057809937859,20.209505178685326,9.968690594628832,11.991560101267574,19.285024173980357,18.197938483900355,17.060062808883288,20.878962254448254,11.94659296554239,10.607463296927337,18.317845648301002,17.729221421918723,20.400883676085744,26.302286615315126,25.530925396137,23.01458372997254,24.36648085909904,25.309483288304076,20.17582902565071,23.044408165869385,13.789203509364022,21.292651413428626,6.14437100007672,5.412842618036698,21.491477608960302,23.32394851529775,6.333742326116537,8.071022638949003,22.243920942038653,24.52787050598536,20.380001126587242,19.470077517940148
A,Z_D,veronique_eng_36,maureen_fr_40,remi_fr_39,veronique,maureen,remi,triplet24,AE,E,E,AE,E,ZAED,ZED,ZED,1.797109514988017,3.059833442753665,1.4529175387558555,0.80872310396492,17.208731261536705,20.639330047665762,13.790155927726786,13.325272683712543,20.040659753003858,20.946168507826407,19.682291714587045,19.430835059659746,12.878113906996338,12.201224547213847,17.047584172161923,23.488460043722277,19.74420398425544,19.931535769214374,21.43696656157562,22.91675741069034,23.78337031165212,20.615502236035255,16.822765304116754,21.60766653199036,19.592685800319774,20.51563344841403,7.994082352741685,7.3496162132884955,21.61134612603668,21.066586536795338,10.682437459504628,10.898130085847102,19.69083766269699,24.787316995500262,19.279482702601207,23.382961308153455
A,Z_B,veronique_fr_208,maureen_eng_215,jeremy_eng_215,veronique,maureen,jeremy,triplet25,A,IH,IH,IH,A,ZAB,ZIHB,ZIHB,1.4473849001591519,1.7758274383332888,1.315217924355503,2.3058898377049983,25.50838222318081,23.283155432579424,14.489385852847274,10.199144301292222,18.292055928558288,18.427168344013868,24.729921358011136,23.092026171737093,10.551120303455907,9.98099166417003,26.672155156294785,23.16837559030077,25.882250549775137,26.567091425392462,25.016027533660484,26.911083285760743,23.6939867056375,19.900875619484474,17.532445674031425,19.199941778503106,21.102929054988667,18.923330906408832,6.294483482875342,11.071106345762212,22.018830827641008,20.47963086251755,8.447007543000872,9.77259203969215,25.71142404650837,24.698559035177357,17.363339660563426,20.062983447009334
