CORR_ANS,context,file_OTH,file_TGT,file_X,speaker_OTH,speaker_TGT,speaker_X,tripletid,vowel_OTH,vowel_TGT,vowel_X,vowel_eng,vowel_fr,word_OTH,word_TGT,word_X,mfcc_oth_x,mfcc_tgt_x
A,Z_F,veronique_eng_219,maureen_fr_104,remi_fr_99,veronique,maureen,remi,triplet44,IH,I,I,IH,I,ZIHF,ZIF,ZIF,0.24935857202640482,0.264195175528218
A,V_G,maureen_fr_16,veronique_eng_16,jeremy_eng_16,maureen,veronique,jeremy,triplet45,U,UH,UH,UH,U,VUG,VUHG,VUHG,0.45749162921619013,0.4105926197608097
B,Z_F,maureen_eng_50,veronique_fr_113,marc_fr_108,maureen,veronique,marc,triplet46,AE,Y,Y,AE,Y,ZAEF,ZYF,ZYF,0.5135640498229513,0.34044696752330966
B,S_G,maureen_fr_222,veronique_eng_67,jeremy_eng_70,maureen,veronique,jeremy,triplet47,A,AH,AH,AH,A,SAG,SAHG,SAHG,0.605812366288344,0.4873234618382512
A,Z_F,veronique_eng_104,maureen_fr_169,remi_fr_161,veronique,maureen,remi,triplet48,AH,A,A,AH,A,ZAHF,ZAF,ZAF,0.4310415543284141,0.43263581410147245
A,Z_S,maureen_fr_153,veronique_eng_93,ewan_eng_98,maureen,veronique,ewan,triplet49,O,AH,AH,AH,O,ZOS,ZAHS,ZAHS,0.4159609917830202,0.2505063355720532
B,Z_S,veronique_eng_93,maureen_fr_168,marc_fr_158,veronique,maureen,marc,triplet50,AH,A,A,AH,A,ZAHS,ZAS,ZAS,0.40894868087750097,0.6394000040329282
B,Z_F,veronique_fr_21,maureen_eng_50,ewan_eng_51,veronique,maureen,ewan,triplet51,U,AE,AE,AE,U,ZUF,ZAEF,ZAEF,0.5435846057271662,0.3780024140394352
A,SH_S,maureen_eng_117,veronique_fr_31,remi_fr_30,maureen,veronique,remi,triplet52,AH,U,U,AH,U,SHAHS,SHUS,SHUS,0.6294619905861013,0.2635189119735296
A,Z_G,maureen_fr_183,veronique_eng_3,ewan_eng_3,maureen,veronique,ewan,triplet53,OE,UH,UH,UH,OE,ZOEG,ZUHG,ZUHG,0.4723807025311591,0.251186054355305
B,Z_V,veronique_eng_49,maureen_fr_106,marc_fr_97,veronique,maureen,marc,triplet54,AE,I,I,AE,I,ZAEV,ZIV,ZIV,0.6708120451314571,0.45122179674960144
