orig_file,indexnumber,int_name,int_filename,speaker,vowel,context,language
stimuli/Jeremy_ABX_ENG_clean.wav,67,ZAHB,jeremy_eng_67,jeremy,AH,Z_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,68,ZAHD,jeremy_eng_68,jeremy,AH,Z_D,eng
stimuli/Jeremy_ABX_ENG_clean.wav,69,SAHT,jeremy_eng_69,jeremy,AH,S_T,eng
stimuli/Jeremy_ABX_ENG_clean.wav,70,SAHG,jeremy_eng_70,jeremy,AH,S_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,71,FAHP,jeremy_eng_71,jeremy,AH,F_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,72,FAHB,jeremy_eng_72,jeremy,AH,F_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,73,SHAHB,jeremy_eng_73,jeremy,AH,SH_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,74,VAHK,jeremy_eng_74,jeremy,AH,V_K,eng
stimuli/Jeremy_ABX_ENG_clean.wav,75,VAHB,jeremy_eng_75,jeremy,AH,V_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,76,ZAHP,jeremy_eng_76,jeremy,AH,Z_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,77,ZAHK,jeremy_eng_77,jeremy,AH,Z_K,eng
stimuli/Jeremy_ABX_ENG_clean.wav,78,ZAHG,jeremy_eng_78,jeremy,AH,Z_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,79,ZAHB,jeremy_eng_79,jeremy,AH,Z_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,80,SAHT,jeremy_eng_80,jeremy,AH,S_T,eng
stimuli/Jeremy_ABX_ENG_clean.wav,81,SAHG,jeremy_eng_81,jeremy,AH,S_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,82,FAHP,jeremy_eng_82,jeremy,AH,F_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,83,FAHB,jeremy_eng_83,jeremy,AH,F_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,84,SHAHP,jeremy_eng_84,jeremy,AH,SH_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,85,SHAHK,jeremy_eng_85,jeremy,AH,SH_K,eng
stimuli/Jeremy_ABX_ENG_clean.wav,86,SHAHB,jeremy_eng_86,jeremy,AH,SH_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,87,SHAHD,jeremy_eng_87,jeremy,AH,SH_D,eng
stimuli/Jeremy_ABX_ENG_clean.wav,88,VAHP,jeremy_eng_88,jeremy,AH,V_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,89,VAHT,jeremy_eng_89,jeremy,AH,V_T,eng
stimuli/Jeremy_ABX_ENG_clean.wav,90,VAHK,jeremy_eng_90,jeremy,AH,V_K,eng
stimuli/Jeremy_ABX_ENG_clean.wav,91,VAHG,jeremy_eng_91,jeremy,AH,V_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,92,VAHB,jeremy_eng_92,jeremy,AH,V_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,93,VAHD,jeremy_eng_93,jeremy,AH,V_D,eng
stimuli/Jeremy_ABX_ENG_clean.wav,94,ZAHZ,jeremy_eng_94,jeremy,AH,Z_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,95,ZAHS,jeremy_eng_95,jeremy,AH,Z_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,96,ZAHF,jeremy_eng_96,jeremy,AH,Z_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,97,ZAHSH,jeremy_eng_97,jeremy,AH,Z_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,98,ZAHV,jeremy_eng_98,jeremy,AH,Z_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,99,SAHZ,jeremy_eng_99,jeremy,AH,S_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,100,SAHSH,jeremy_eng_100,jeremy,AH,S_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,101,SAHV,jeremy_eng_101,jeremy,AH,S_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,102,SHAHZ,jeremy_eng_102,jeremy,AH,SH_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,103,SHAHS,jeremy_eng_103,jeremy,AH,SH_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,104,SHAHF,jeremy_eng_104,jeremy,AH,SH_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,105,VAHSH,jeremy_eng_105,jeremy,AH,V_SH,eng
